author_id,author,gender,COUNT of id
719,Ana María Careaga,F,4
720,María Pía del Castillo,F,1
721,Alejandra Cardini,F,2
722,Beatriz Chisleanschi,F,1
723,Gimena de León y Alejandro Biondi,X,1
724,Gimena de León,F,1
725,Estela Díaz,F,1
726,Mariana Pedace,F,1
727,Dolores Young,F,1
728,Denise Braz,F,1
729,Adolfo Pérez Esquivel,M,3
730,Felipe Calderón,M,1
731,Juan Carlos Del Bello,M,2
732,Sacha Kun Sabó,M,1
733,Sebastián Galiani,M,1
734,Carolina Allievi y Victoria Freire,F,1
735,Federico Pastrana y Juan Goldman,M,1
736,Itai Hagman y Mariano Santana,M,1
737,Alejandro Amor,M,1
738,Florencia Luna,F,1
739,Alejandro Kaufman,M,1
740,Itai Hagman,M,4
741,Myriam Mitrece,F,1
742,Marina Dal Poggetto,F,3
743,Alberto Ferrari Etcheberry,M,1
744,Gustavo Sain,M,1
745,Juan Manuel Karg,M,9
746,Jorge Rivas,M,3
747,Julio Conte Grand,M,1
748,Gabriel Mariotto,M,1
749,Federico Bernal,M,3
750,Oscar Luna,M,1
751,Eduardo de la Serna,M,3
752,Matías Barroetaveña,M,3
753,Marcelo Kohen,M,1
754,Raúl Martínez Fazzalari,M,5
755,Martha Rosenberg,F,1
756,Ginés González García,M,3
757,Gustavo Iaies,M,5
758,Germán C. Garavano,M,1
759,Carlos Tomada,M,2
760,Katu Arkonada,M,1
761,Edgardo Esteban y Uriel Erlich,M,1
762,Ricardo Lorenzetti,M,1
763,Cornelia Schmidt Liermann,F,2
764,"Ana Oberlin, Guido Croxatto y Charly Pisoni",X,1
765,Daniel Green y Juan Fal,M,1
766,Marcos Rebasa,M,6
767,Luis Paz,M,7
768,Fernanda Sández,F,3
769,Jorge Luis Duperré,M,1
770,Daniel Cabrera,M,3
771,Carolina Dome,F,1
772,Noé Jitrik,M,4
773,Fabrizio Maranzana,M,1
774,María Elena Naddeo,F,4
775,Ramiro González,M,1
776,Francisco Jueguen,M,1
777,Martín Etchegoyen Lynch,M,2
778,Mauricio D'Alessandro,M,1
779,Felipe Solá,M,2
780,Darío Norman Martínez,M,1
781,Guillermo Carmona,M,4
782,Madeleine Albright,F,1
783,Marisol Merquel,F,1
784,Paulo Pimenta,M,2
785,Natalia Zito,F,1
786,Agustín Carrara,M,1
787,Mariano Amartino,M,4
