id,title,site,url,added,last_seen,author_id,id,author,gender
123,"Enfrentar las sombras, un conducto hacia la luz",lanacion,/2088744-enfrentar-las-sombras-un-conducto-hacia-la-luz,2017-12-06T13:14:03-03:00,2017-12-06T15:17:33-03:00,99,99,"Fabiana Fondevila",F
124,"Cuando ser bueno tiene mala prensa",lanacion,/2088654-cuando-ser-bueno-tiene-mala-prensa,2017-12-06T13:14:03-03:00,2017-12-06T15:17:33-03:00,100,100,"María Zysman",F
125,"Una última gestión de Triaca",clarin,/opinion/ultima-gestion-triaca_0_BkBT26VZf.html,2017-12-06T14:37:44-03:00,2017-12-06T15:17:22-03:00,1,1,"Ricardo Roa",M
126,"Nisman: el misterio del kiosco de diarios",clarin,/politica/misterio-diariero-nisman_0_HJHtHB1ZM.html,2017-12-06T14:37:44-03:00,2017-12-06T15:17:22-03:00,101,101,"Héctor Gambini",M
127,"El dólar barato, un talón de Aquiles",clarin,/opinion/dolar-barato-talon-aquiles-economia-macri_0_SJMIrO4ZM.html,2017-12-06T14:37:44-03:00,2017-12-06T15:17:22-03:00,102,102,"Daniel Fernández Canedo",M
128,"La última rebelión militar, 27 años después",clarin,/opinion/ultima-rebelion-militar-27-anos-despues_0_ryLq69N-z.html,2017-12-06T14:37:44-03:00,2017-12-06T15:17:22-03:00,103,103,"Eduardo Menem",M
129,"Un capitalismo con rostro humano",clarin,/opinion/capitalismo-rostro-humano_0_rJrxa9EWG.html,2017-12-06T14:37:44-03:00,2017-12-06T15:17:22-03:00,104,104,"Alberto Dalla Vía",M
154,"Con el libro en la mano",pagina12,https://www.pagina12.com.ar/79838-con-el-libro-en-la-mano,2017-12-06T14:38:46-03:00,2017-12-06T15:50:48-03:00,105,105,"María Moreno",F
155,Despacito,pagina12,https://www.pagina12.com.ar/80006-despacito,2017-12-06T14:38:46-03:00,2017-12-06T15:50:48-03:00,106,106,"Claudio Scaletta",M
156,"La hoguera de las machis",pagina12,https://www.pagina12.com.ar/79488-la-hoguera-de-las-machis,2017-12-06T14:38:46-03:00,2017-12-06T15:50:48-03:00,107,107,"Luciana Peker",F
157,"Balbi y un intento de explicación fallido",clarin,/opinion/balbi-intento-explicacion-fallido_0_ryIb1bI-G.html,2017-12-07T11:37:06-03:00,2017-12-08T00:30:28-03:00,108,108,"Gonzalo Abascal",M
158,"El Papa, los Maldonado, la verdad y los canallas",clarin,/opinion/papa-maldonado-verdad-canallas_0_ry8AGpB-M.html,2017-12-07T11:37:06-03:00,2017-12-08T00:30:28-03:00,2,2,"Julio Blanck",M
159,"Trump y Jerusalén, 2 granadas sin espoleta",clarin,/mundo/donald-trump-jerusalen-granadas-espoleta_0_BkSsLwH-z.html,2017-12-07T11:37:06-03:00,2017-12-08T00:30:28-03:00,50,50,"Marcelo Cantelmi",M
160,"Cambio climático: cuenta regresiva",clarin,/opinion/cambio-climatico-cuenta-regresiva_0_SJJgZxI-z.html,2017-12-07T11:37:06-03:00,2017-12-08T00:30:28-03:00,109,109,"Alieto Aldo Guadagni",M
